Date,Sales,Predicted_Sales,Promotion,Holiday
2042-01-05,9872.79,10999.707299999995,0,0
2042-01-12,19813.06,18471.53124999999,1,0
2042-01-19,18932.51,17533.528700000003,1,0
2042-01-26,14416.17,16208.639600000013,1,0
2042-02-02,11263.46,12366.300500000012,0,0
2042-02-09,12253.76,11955.265000000014,0,0
2042-02-16,10989.53,10815.308549999994,0,0
2042-02-23,13639.85,16658.860499999995,1,0
2042-03-02,14623.31,16128.294750000001,0,0
2042-03-09,19149.2,18297.227049999987,0,1
2042-03-16,18147.99,17841.123400000004,1,0
2042-03-23,14972.67,15759.1325,0,1
2042-03-30,16470.25,16517.680000000004,1,0
2042-04-06,19029.9,17344.744399999996,1,0
2042-04-13,18981.96,18248.2942,1,0
2042-04-20,12248.03,11724.107499999998,0,0
2042-04-27,10921.7,10261.058049999998,0,0
2042-05-04,16020.64,17689.838599999974,1,0
2042-05-11,17421.31,18094.33779999999,1,0
2042-05-18,19410.49,18425.78824999999,1,0
2042-05-25,12675.49,11646.675950000003,0,0
2042-06-01,19428.7,17964.138,1,0
2042-06-08,18182.01,17273.44879999999,1,0
2042-06-15,13674.74,15594.095500000012,1,0
2042-06-22,18272.79,18382.933550000005,1,0
2042-06-29,18248.12,17779.399200000007,1,0
2042-07-06,12606.63,12104.938850000002,0,0
2042-07-13,16440.92,17417.5441,0,1
2042-07-20,13790.93,10645.925050000003,0,0
2042-07-27,10419.5,12092.042099999999,0,0
2042-08-03,10436.17,11968.882600000006,0,0
2042-08-10,10992.31,11443.73335000001,0,0
2042-08-17,14328.16,11740.191550000012,0,0
2042-08-24,10376.57,11898.900500000005,0,0
2042-08-31,11091.01,11012.302399999997,0,0
2042-09-07,17444.75,15870.913750000005,1,0
2042-09-14,16846.57,16953.788500000013,1,0
2042-09-21,11228.48,11939.270649999999,0,0
2042-09-28,19082.76,18710.054499999987,1,0
2042-10-05,11841.02,11990.043399999999,0,0
2042-10-12,14644.53,15076.466849999995,0,0
2042-10-19,14555.76,13547.371599999986,0,0
2042-10-26,11626.4,11288.850250000018,0,0
2042-11-02,15606.08,15908.315050000007,1,0
2042-11-09,17434.93,18189.904400000018,1,0
2042-11-16,11742.96,10731.40484999999,0,0
2042-11-23,11040.2,10832.463549999995,0,0
2042-11-30,10583.27,9860.384049999999,0,0
2042-12-07,11175.95,9264.010999999999,0,0
2042-12-14,13169.34,11567.01090000001,0,0
2042-12-21,8198.94,9761.945050000004,0,0
2042-12-28,16288.03,15581.350649999997,1,0
2043-01-04,23715.57,23378.979700000036,1,1
2043-01-11,11552.83,12017.939750000005,0,0
2043-01-18,18405.02,17843.36460000001,1,0
2043-01-25,10311.33,9773.900600000004,0,0
2043-02-01,15795.45,15836.369399999992,0,1
2043-02-08,14699.99,15828.536199999997,0,1
2043-02-15,10227.95,11953.77930000001,0,0
2043-02-22,21175.8,19730.77034999997,1,0
2043-03-01,5835.49,8990.399700000007,0,0
