Date,Store_ID,Product_Category,Sales,Promotion,Holiday,Customers,Temperature,Rainfall,Discount_Percentage,Stock_Available
2036-06-08,S001,Electronics,12033.9,0,0,532,30.2,14.0,2.2,1347
2036-07-27,S001,Electronics,17745.0,1,0,606,35.5,5.4,8.1,1584
2036-08-03,S001,Electronics,20056.57,1,0,818,28.8,29.7,29.7,1787
2036-08-17,S001,Grocery,18521.35,1,0,630,28.6,4.4,7.9,1600
2036-09-14,S001,Electronics,15933.15,1,0,571,36.1,8.4,11.4,1377
2036-10-05,S001,Beauty,16369.24,1,0,648,23.6,13.9,6.4,1600
2036-10-19,S001,Beauty,8790.61,0,0,469,29.1,31.9,1.7,1324
2036-11-02,S001,Electronics,15445.38,1,0,540,27.9,12.0,17.9,1561
2036-11-16,S001,Home,9406.9,0,0,451,37.7,14.9,1.8,1244
2036-12-07,S001,Beauty,15672.19,1,0,580,29.3,8.2,13.9,1504
2037-02-22,S001,Electronics,10550.21,0,0,412,27.9,2.8,2.1,1263
2037-03-08,S001,Clothing,9392.08,0,0,469,26.5,12.9,2.6,1205
2037-03-15,S001,Beauty,12921.86,0,0,502,36.8,1.8,4.7,1375
2037-04-19,S001,Beauty,12251.52,0,0,507,31.7,16.2,0.2,1222
2037-04-26,S001,Electronics,8770.58,0,0,417,35.1,34.1,2.9,1228
2037-07-05,S001,Grocery,13351.28,0,1,598,22.7,16.9,4.6,1250
2037-08-02,S001,Electronics,16026.75,1,0,610,29.6,3.1,17.4,1481
2037-08-09,S001,Beauty,10826.51,0,0,492,25.0,8.9,0.6,1265
2037-11-22,S001,Beauty,12426.61,0,0,375,25.6,11.8,4.6,1210
2037-11-29,S001,Grocery,13341.41,0,0,503,29.9,14.0,0.7,1337
2037-12-27,S001,Electronics,11411.15,0,0,544,40.0,6.0,0.6,1345
2038-01-31,S001,Beauty,10332.19,0,0,473,29.5,3.9,2.9,1190
2038-02-14,S001,Home,19124.95,1,0,760,30.9,7.2,18.7,1678
2038-05-09,S001,Beauty,17676.04,1,0,733,31.3,9.8,17.3,1653
2038-06-06,S001,Home,11190.89,0,0,592,26.7,9.8,0.4,1316
2038-10-03,S001,Home,7626.82,0,0,423,24.1,26.0,2.4,1192
2038-10-17,S001,Grocery,11461.02,0,0,534,34.6,3.1,4.1,1276
2038-11-14,S001,Home,17051.64,1,0,730,29.1,6.8,22.8,1507
2038-12-12,S001,Home,10101.62,0,0,434,30.0,4.0,3.0,1419
2038-12-26,S001,Home,13609.27,0,0,629,26.8,8.2,0.8,1458
2039-01-02,S001,Clothing,9807.81,0,0,468,26.9,14.8,0.6,1357
2039-01-23,S001,Electronics,12064.5,0,0,539,28.3,5.3,1.1,1129
2039-02-13,S001,Beauty,13070.98,0,0,504,29.3,1.6,3.0,1282
2039-02-20,S001,Home,10389.99,0,0,546,31.6,29.4,3.2,1426
2039-07-03,S001,Electronics,10514.6,0,0,402,29.1,8.9,1.7,1198
2039-07-31,S001,Grocery,12072.11,0,0,457,28.6,6.8,3.0,1273
2039-08-07,S001,Clothing,18974.76,0,1,790,31.5,17.5,4.3,1450
2039-08-28,S001,Home,19607.81,1,1,864,28.0,6.7,8.2,1765
2039-09-04,S001,Beauty,17089.74,0,1,821,29.3,19.1,0.1,1532
2039-09-25,S001,Electronics,12382.27,0,0,490,26.8,1.9,3.0,1371
2039-10-23,S001,Grocery,14718.93,0,1,584,33.1,17.5,0.6,1391
2039-11-27,S001,Electronics,17025.62,0,1,668,26.7,1.4,2.8,1395
2039-12-25,S001,Electronics,11032.24,0,0,407,21.7,5.5,1.7,1131
2040-02-26,S001,Grocery,11487.79,0,0,481,32.9,13.0,4.1,1278
2040-03-04,S001,Clothing,11652.2,0,0,489,32.4,11.0,2.9,1297
2040-04-08,S001,Home,11798.4,0,0,566,25.4,8.0,1.5,1250
2040-06-17,S001,Beauty,10245.8,0,0,468,30.7,12.9,3.2,1247
2040-07-01,S001,Clothing,17936.7,0,1,738,32.4,3.7,1.5,1336
2040-09-23,S001,Clothing,9487.38,0,0,405,27.7,10.5,0.2,1313
2040-10-07,S001,Grocery,8208.2,0,0,475,33.7,8.9,1.4,1169
2040-10-21,S001,Grocery,16305.61,0,1,687,34.3,18.2,2.4,1534
2040-12-16,S001,Grocery,8380.88,0,0,451,31.7,7.8,1.7,1344
2041-02-24,S001,Grocery,16402.43,1,0,541,29.3,8.0,29.5,1681
2041-03-10,S001,Beauty,10744.56,0,0,427,34.0,5.3,4.9,1258
2041-03-17,S001,Electronics,18520.1,1,0,664,36.8,2.3,22.6,1739
2041-03-24,S001,Electronics,15363.51,0,1,597,23.4,25.8,2.3,1519
2041-04-14,S001,Beauty,13954.5,1,0,631,32.3,24.9,5.8,1766
2041-06-02,S001,Home,12507.38,0,0,545,21.9,8.2,2.9,1384
2041-07-07,S001,Clothing,10464.4,0,0,526,29.4,7.3,1.0,1517
2041-08-04,S001,Clothing,10603.36,0,0,474,32.1,8.9,2.0,1231
2041-10-20,S001,Electronics,23568.82,1,1,940,35.0,2.2,25.8,1789
2041-11-10,S001,Beauty,16674.16,1,0,627,22.1,7.0,19.6,1668
2041-12-08,S001,Home,8098.13,0,0,370,29.9,12.0,2.3,1280
2041-12-15,S001,Clothing,17472.49,0,1,759,31.3,13.1,1.7,1426
2041-12-22,S001,Electronics,23318.83,1,1,864,30.0,4.4,7.6,1722
2041-12-29,S001,Home,10221.43,0,0,503,26.7,4.8,1.6,1333
2042-01-05,S001,Electronics,9872.79,0,0,420,33.3,3.9,0.7,1309
2042-03-16,S001,Beauty,18147.99,1,0,682,27.0,24.4,27.6,1559
2042-04-20,S001,Home,12248.03,0,0,504,21.7,7.3,2.9,1366
2042-04-27,S001,Home,10921.7,0,0,419,29.7,13.2,4.0,1136
2042-05-25,S001,Beauty,12675.49,0,0,578,25.3,14.4,1.5,1293
2042-07-13,S001,Electronics,16440.92,0,1,711,32.3,6.3,2.7,1409
2043-02-08,S001,Beauty,14699.99,0,1,676,28.4,4.1,4.8,1344
2043-02-15,S001,Grocery,10227.95,0,0,495,31.1,10.9,2.6,1417
2024-02-11,S002,Beauty,12628.27,0,0,714,28.5,2.1,4.1,1473
2024-04-07,S002,Grocery,20408.17,1,0,794,36.5,2.1,19.5,1542
2024-04-21,S002,Grocery,11908.88,0,0,545,29.4,3.0,0.6,1269
2024-05-26,S002,Grocery,9325.97,0,0,418,30.9,8.3,0.3,1412
2024-07-14,S002,Electronics,10243.84,0,0,452,33.3,2.0,1.5,1136
2024-10-06,S002,Electronics,17472.96,1,0,698,32.7,13.8,28.1,1692
2024-11-03,S002,Grocery,18742.45,0,1,708,26.5,6.4,1.8,1597
2024-11-10,S002,Clothing,12331.29,0,0,502,32.1,12.7,4.4,1282
2024-11-24,S002,Home,9404.26,0,0,456,27.5,16.7,1.7,1052
2024-12-08,S002,Clothing,11567.7,0,0,546,21.7,7.8,1.9,1411
2025-02-09,S002,Home,7347.96,0,0,406,21.5,22.6,1.9,1281
2025-02-23,S002,Beauty,11475.17,0,0,473,31.8,11.1,1.3,1362
2025-03-02,S002,Grocery,21786.72,1,1,882,19.0,6.3,11.3,1693
2025-03-23,S002,Grocery,20109.79,1,0,775,35.6,0.5,24.9,1852
2025-03-30,S002,Grocery,11512.04,0,0,613,28.5,12.3,0.9,1448
2025-04-13,S002,Home,12131.21,0,0,563,30.6,12.1,0.1,1237
2025-04-20,S002,Beauty,13690.07,1,0,598,21.5,4.0,17.7,1703
2025-06-01,S002,Clothing,11051.8,0,0,426,36.9,14.3,3.7,1477
2025-06-15,S002,Grocery,10694.51,0,0,410,31.1,10.9,1.0,1465
2025-11-16,S002,Grocery,11006.16,0,0,598,33.0,4.9,2.1,1436
2025-11-23,S002,Home,10276.25,0,0,424,29.2,5.6,1.7,1236
2025-12-28,S002,Clothing,17900.67,1,0,662,30.9,5.1,25.3,1515
2026-03-29,S002,Home,17899.42,0,1,718,34.0,9.7,3.8,1534
2026-04-19,S002,Electronics,9507.31,0,0,367,29.2,5.9,0.1,1085
2026-04-26,S002,Electronics,16829.33,1,0,666,31.3,7.7,9.8,1664
2026-08-23,S002,Clothing,18003.04,1,0,691,27.6,24.5,20.6,1760
2026-08-30,S002,Home,12824.41,0,0,519,27.9,1.1,2.9,1306
2026-11-08,S002,Electronics,12620.31,0,0,611,24.5,5.1,3.9,1423
2027-03-07,S002,Electronics,9769.62,0,0,435,39.6,4.4,1.4,1385
2027-04-25,S002,Beauty,11450.41,0,0,542,31.0,24.0,4.3,1365
2027-05-16,S002,Grocery,10972.49,0,0,456,29.4,10.0,3.5,1239
2027-07-11,S002,Electronics,17141.98,1,0,691,23.8,14.6,19.3,1781
2027-07-18,S002,Beauty,8999.37,0,0,459,34.3,16.5,3.7,1338
2027-08-29,S002,Beauty,9576.72,0,0,356,27.7,6.3,4.7,1151
2027-09-19,S002,Electronics,16503.21,1,0,676,18.7,5.6,18.3,1756
2027-11-07,S002,Electronics,10841.31,0,0,463,22.5,17.6,4.1,1223
2028-02-06,S002,Home,21607.92,1,1,775,30.7,12.5,26.9,1707
2028-03-26,S002,Electronics,15502.21,0,1,560,32.9,27.2,2.2,1334
2028-05-07,S002,Clothing,10527.01,0,0,332,24.5,21.7,2.0,1218
2028-05-14,S002,Grocery,22534.69,1,1,990,27.2,7.8,20.1,1759
2028-06-04,S002,Clothing,11810.04,0,0,568,36.9,9.4,0.9,1262
2028-07-09,S002,Beauty,12293.91,0,0,556,28.4,7.8,0.9,1271
2028-12-17,S002,Clothing,15478.02,0,1,554,22.1,4.2,2.3,1348
2028-12-24,S002,Grocery,13462.95,0,0,507,25.5,3.5,1.0,1149
2028-12-31,S002,Beauty,19296.76,1,0,787,29.3,13.7,21.7,1944
2029-05-20,S002,Grocery,13619.07,1,0,452,27.1,16.9,7.5,1343
2029-12-30,S002,Electronics,13083.11,0,0,554,33.8,17.3,4.8,1244
2030-01-13,S002,Beauty,15275.21,1,0,656,31.9,15.1,17.0,1692
2030-01-20,S002,Electronics,10159.63,0,0,445,28.9,12.3,4.5,1405
2030-02-03,S002,Electronics,21476.71,1,1,818,21.5,3.2,14.2,1812
2030-02-10,S002,Clothing,10130.15,0,0,450,29.6,10.1,5.0,1334
2030-02-24,S002,Electronics,9646.6,0,0,447,31.7,0.6,2.2,1301
2030-03-03,S002,Clothing,16574.1,1,0,620,31.9,19.3,21.3,1687
2030-03-10,S002,Beauty,11564.37,0,0,510,27.2,16.1,1.5,1274
2030-04-21,S002,Beauty,23101.52,1,1,873,18.4,13.7,15.0,1782
2030-04-28,S002,Grocery,11591.23,0,0,419,28.5,6.3,3.5,1369
2030-05-12,S002,Beauty,9955.82,0,0,593,23.5,12.4,3.3,1325
2030-06-09,S002,Grocery,15394.17,0,1,616,31.3,11.8,1.2,1370
2030-08-11,S002,Electronics,11779.47,0,0,514,29.6,26.9,4.1,1401
2030-08-18,S002,Home,13712.77,0,0,551,28.3,5.1,0.7,1351
2030-09-08,S002,Grocery,9372.27,0,0,452,24.7,11.3,0.9,1394
2030-09-22,S002,Beauty,14335.62,0,0,543,26.0,19.7,5.0,1370
2030-09-29,S002,Grocery,9907.17,0,0,429,27.0,15.1,2.8,1085
2030-10-20,S002,Home,9856.7,0,0,427,33.9,14.2,2.1,1297
2031-02-09,S002,Home,8955.01,0,0,501,23.9,13.6,4.8,1231
2031-02-23,S002,Beauty,11375.93,0,0,414,32.9,13.3,2.3,1394
2031-03-30,S002,Electronics,17276.27,1,0,626,31.7,3.7,23.2,1606
2031-04-06,S002,Grocery,8704.61,0,0,368,30.9,10.8,2.7,1177
2031-04-20,S002,Grocery,12899.71,0,0,558,26.2,5.6,2.2,1228
2031-06-01,S002,Grocery,18126.59,0,1,717,34.7,12.0,2.8,1492
2031-06-08,S002,Grocery,12861.57,0,0,441,25.3,3.9,3.9,1378
2031-06-22,S002,Home,11559.12,0,0,446,36.1,4.9,1.6,1443
2031-08-31,S002,Clothing,11545.8,0,0,598,32.8,3.5,2.6,1431
2031-11-16,S002,Clothing,8732.17,0,0,375,24.9,6.5,0.3,1290
2031-11-23,S002,Clothing,26186.16,1,1,919,30.8,4.4,17.7,1733
2031-12-28,S002,Grocery,17886.16,1,0,790,30.0,9.8,7.8,1613
2032-01-04,S002,Electronics,22169.94,1,1,864,41.5,3.5,23.0,1652
2032-01-25,S002,Grocery,12152.7,0,0,589,29.3,5.7,4.6,1404
2032-02-08,S002,Beauty,7278.63,0,0,330,31.8,12.4,2.2,1360
2032-02-15,S002,Clothing,12162.87,0,0,505,27.1,0.7,1.4,1226
2032-02-29,S002,Electronics,10458.44,0,0,461,22.6,19.8,1.9,1295
2032-04-04,S002,Electronics,11111.97,0,0,418,31.5,6.3,3.4,1275
2032-05-16,S002,Beauty,13020.32,0,0,563,29.0,6.5,4.4,1416
2032-08-15,S002,Clothing,18294.9,1,0,642,32.9,2.2,29.8,1567
2032-09-26,S002,Beauty,14442.58,1,0,640,32.2,10.0,9.4,1753
2032-10-17,S002,Grocery,9890.38,0,0,474,21.4,5.6,2.3,1305
2032-11-07,S002,Home,10243.52,0,0,412,36.0,13.3,1.2,1087
2032-11-21,S002,Home,15118.58,0,1,657,29.2,3.2,4.4,1404
2032-11-28,S002,Beauty,11893.27,0,0,458,27.5,13.7,2.1,1106
2032-12-05,S002,Clothing,11273.27,0,0,573,28.8,17.7,4.6,1427
2032-12-12,S002,Beauty,18584.23,1,0,736,35.7,6.9,27.5,1779
2033-01-09,S002,Electronics,11494.24,0,0,475,25.2,4.2,4.8,1489
2033-01-23,S002,Clothing,12169.68,0,0,513,36.7,7.8,0.1,1359
2033-04-03,S002,Clothing,11202.81,0,0,530,32.1,16.1,1.4,1477
2033-05-22,S002,Clothing,17513.15,0,1,679,25.9,18.6,4.0,1448
2033-11-27,S002,Clothing,13181.14,0,0,501,32.8,3.4,0.2,1144
2034-03-05,S002,Beauty,10931.51,0,0,536,27.6,7.6,0.7,1126
2034-03-12,S002,Home,21054.82,1,0,757,29.3,10.2,29.1,1673
2034-03-19,S002,Grocery,10554.45,0,0,478,30.3,11.9,2.7,1375
2034-04-30,S002,Clothing,10378.27,0,0,390,22.8,21.4,1.7,1184
2034-05-21,S002,Home,15682.66,1,0,581,37.8,4.1,12.8,1745
2034-05-28,S002,Clothing,16216.68,1,0,751,27.9,10.5,12.7,1798
2034-07-02,S002,Home,17225.92,1,0,661,25.2,8.2,19.8,1601
2034-07-16,S002,Beauty,10028.25,0,0,359,37.2,10.0,3.0,1234
2034-07-30,S002,Clothing,10451.47,0,0,575,25.9,3.2,2.9,1423
2034-08-06,S002,Home,6883.12,0,0,532,28.9,15.3,2.4,1282
2034-12-10,S002,Home,9736.03,0,0,485,37.9,5.6,2.6,1359
2034-12-17,S002,Grocery,18926.94,1,0,751,24.5,4.1,28.1,1630
2035-01-21,S002,Electronics,9785.02,0,0,464,32.0,20.6,1.1,1163
2035-02-04,S002,Clothing,16276.19,0,1,619,30.8,3.4,4.3,1320
2035-05-20,S002,Home,10713.65,0,0,481,30.8,3.3,3.0,1322
2035-09-02,S002,Grocery,14872.36,1,0,661,32.1,7.4,11.2,1538
2035-11-04,S002,Grocery,11997.54,0,0,424,27.5,8.9,4.5,1252
2035-12-02,S002,Grocery,9161.16,0,0,455,25.4,10.0,0.6,1332
2035-12-23,S002,Grocery,11457.37,0,0,542,28.4,2.2,1.3,1318
2035-12-30,S002,Grocery,14986.37,0,1,676,28.3,8.0,1.3,1377
2036-01-13,S002,Grocery,17923.67,1,0,767,25.0,7.6,13.1,1636
2036-05-18,S002,Grocery,8896.17,0,0,427,29.1,13.8,0.3,1090
2036-06-15,S002,Home,12379.81,0,0,552,25.8,2.5,2.0,1246
2036-06-22,S002,Home,10811.64,0,0,410,27.1,4.4,0.7,1250
2036-06-29,S002,Clothing,11506.24,0,0,536,24.9,7.5,2.5,1185
2036-08-10,S002,Clothing,11054.89,0,0,459,19.6,8.0,5.0,1242
2036-09-07,S002,Clothing,13073.25,0,0,489,27.9,19.7,3.8,1229
2036-10-26,S002,Clothing,12493.67,0,0,573,32.0,4.6,3.3,1378
2037-02-01,S002,Clothing,17907.59,1,0,571,31.3,2.3,19.0,1581
2037-02-08,S002,Clothing,10677.91,0,0,404,29.8,8.5,1.3,1264
2037-05-03,S002,Beauty,18521.04,1,0,700,21.1,8.9,16.0,1698
2037-05-17,S002,Beauty,11895.89,0,0,491,20.0,4.6,4.4,1338
2037-05-24,S002,Home,19935.21,1,0,656,26.1,2.2,25.5,1820
2037-05-31,S002,Home,9473.46,0,0,418,36.5,24.9,3.7,1200
2037-06-21,S002,Home,11392.47,0,0,583,29.2,4.3,2.2,1518
