Date,Store_ID,Product_Category,Sales,Promotion,Holiday,Customers,Temperature,Rainfall,Discount_Percentage,Stock_Available,Year,Month,Week,Quarter,Previous_Week_Sales,Moving_Average_4_Weeks
2026-11-22,S001,Grocery,17058.24,1,0,582,33.6,4.2,9.0,1762,2026,11,47,4,16299.94,14699.51
2026-11-29,S001,Electronics,10639.12,0,0,424,30.4,20.5,3.2,1278,2026,11,48,4,17058.24,14187.3525
2026-12-06,S001,Clothing,9093.0,0,0,484,35.1,15.5,0.1,1252,2026,12,49,4,10639.12,13272.575
2026-12-13,S001,Grocery,11510.11,0,0,491,26.6,6.6,4.1,1203,2026,12,50,4,9093.0,12075.1175
2026-12-27,S001,Clothing,15019.25,0,1,550,30.8,18.1,1.3,1086,2026,12,52,4,11510.11,11565.37
2027-01-17,S001,Electronics,14832.16,0,1,740,32.9,6.2,0.2,1308,2027,1,2,1,15019.25,12613.63
2027-02-07,S001,Grocery,11898.57,0,0,518,26.2,5.0,1.7,1334,2027,2,5,1,14832.16,13315.0225
2027-02-21,S001,Home,15231.08,1,0,687,30.4,10.5,5.8,1693,2027,2,7,1,11898.57,14245.265
2027-03-28,S001,Electronics,9339.14,0,0,439,30.3,19.5,2.0,1426,2027,3,12,1,15231.08,12825.2375
2027-04-11,S001,Clothing,17696.58,1,0,689,26.2,10.7,6.0,1604,2027,4,14,2,9339.14,13541.3425
2027-04-18,S001,Electronics,12810.03,0,0,532,30.3,13.0,3.7,1194,2027,4,15,2,17696.58,13769.2075
2027-05-30,S001,Grocery,17474.19,1,0,543,26.6,4.4,22.6,1665,2027,5,21,2,12810.03,14329.985
2027-06-13,S001,Grocery,16995.85,0,1,719,37.6,5.6,4.1,1448,2027,6,23,2,17474.19,16244.1625
2027-06-20,S001,Electronics,10848.41,0,0,510,32.2,8.4,0.6,1374,2027,6,24,2,16995.85,14532.119999999999
2027-07-04,S001,Beauty,12022.28,0,0,444,31.9,5.8,4.3,1290,2027,7,26,3,10848.41,14335.1825
2027-08-08,S001,Clothing,20912.5,0,1,830,35.3,3.5,2.2,1262,2027,8,31,3,12022.28,15194.76
2027-08-15,S001,Electronics,15252.45,1,0,637,24.9,8.3,13.8,1837,2027,8,32,3,20912.5,14758.91
2027-10-17,S001,Beauty,8520.67,0,0,354,28.1,11.2,2.3,1242,2027,10,41,4,15252.45,14176.975
2027-11-21,S001,Clothing,11196.58,0,0,450,30.8,10.0,2.3,1299,2027,11,46,4,8520.67,13970.55
2027-11-28,S001,Grocery,19274.28,1,0,673,31.8,3.1,28.5,1748,2027,11,47,4,11196.58,13560.994999999999
2028-03-12,S001,Beauty,16867.37,1,0,609,27.7,8.3,17.0,1631,2028,3,10,1,19274.28,13964.725
2028-03-19,S001,Grocery,10635.77,0,0,459,30.9,18.5,3.8,1295,2028,3,11,1,16867.37,14493.5
2028-04-02,S001,Home,11513.19,0,0,522,21.8,11.3,3.9,1364,2028,4,13,2,10635.77,14572.652499999998
2028-04-23,S001,Clothing,16151.41,0,1,723,31.7,1.8,0.8,1410,2028,4,16,2,11513.19,13791.935000000001
2028-04-30,S001,Home,18139.5,0,1,770,34.8,2.8,2.2,1331,2028,4,17,2,16151.41,14109.9675
2028-06-11,S001,Electronics,11198.15,0,0,447,26.6,17.4,1.1,1301,2028,6,23,2,18139.5,14250.562500000002
2028-07-02,S001,Electronics,9037.07,0,0,392,25.2,17.0,2.6,1147,2028,7,26,3,11198.15,13631.532500000001
2028-07-16,S001,Grocery,11753.36,0,0,418,31.3,3.8,3.3,1141,2028,7,28,3,9037.07,12532.02
2028-08-20,S001,Beauty,9946.3,0,0,391,31.3,7.5,1.7,1394,2028,8,33,3,11753.36,10483.72
2028-08-27,S001,Clothing,17285.49,0,1,667,37.0,5.4,3.0,1325,2028,8,34,3,9946.3,12005.555
2028-10-01,S001,Electronics,8700.52,0,0,403,36.8,18.3,3.6,1204,2028,10,39,4,17285.49,11921.4175
2028-10-22,S001,Home,15318.23,1,0,631,27.1,9.6,9.1,1508,2028,10,42,4,8700.52,12812.635
2028-11-19,S001,Clothing,8142.05,0,0,399,30.9,7.1,2.5,1174,2028,11,46,4,15318.23,12361.572500000002
2028-12-03,S001,Home,15537.8,1,0,670,34.8,1.9,19.3,1700,2028,12,48,4,8142.05,11924.65
2029-01-21,S001,Grocery,11057.7,0,0,503,34.9,8.6,1.9,1299,2029,1,3,1,15537.8,12513.945
2029-02-04,S001,Home,17424.0,0,1,686,30.6,6.0,4.9,1279,2029,2,5,1,11057.7,13040.3875
2029-02-18,S001,Beauty,12312.25,0,0,437,33.0,9.4,2.3,1338,2029,2,7,1,17424.0,14082.9375
2029-03-18,S001,Electronics,12678.62,0,0,547,35.1,5.0,2.9,1256,2029,3,11,1,12312.25,13368.1425
2029-03-25,S001,Grocery,11091.22,0,0,450,34.2,15.6,3.8,1397,2029,3,12,1,12678.62,13376.5225
2029-06-03,S001,Beauty,24970.68,1,1,1017,24.8,1.7,21.6,2111,2029,6,22,2,11091.22,15263.1925
2029-06-17,S001,Beauty,17674.69,0,1,756,31.8,8.6,1.0,1643,2029,6,24,2,24970.68,16603.8025
2029-08-05,S001,Home,17576.98,1,0,634,31.0,5.4,10.7,1690,2029,8,31,3,17674.69,17828.3925
2029-08-12,S001,Clothing,21134.71,1,1,1005,29.2,8.5,12.0,1853,2029,8,32,3,17576.98,20339.265
2029-09-30,S001,Home,12532.64,0,0,464,28.6,9.4,3.4,1407,2029,9,39,3,21134.71,17229.754999999997
2029-10-21,S001,Clothing,19917.53,1,0,737,22.4,6.0,21.3,1669,2029,10,42,4,12532.64,17790.464999999997
2029-11-18,S001,Home,10431.18,0,0,484,29.6,5.3,3.5,1116,2029,11,46,4,19917.53,16004.015
2029-12-16,S001,Grocery,16222.72,1,0,544,30.2,16.0,20.2,1677,2029,12,50,4,10431.18,14776.0175
2030-01-06,S001,Grocery,13188.79,0,0,528,25.9,7.6,1.6,1173,2030,1,1,1,16222.72,14940.055
2030-03-17,S001,Beauty,10145.42,0,0,476,27.2,10.8,0.1,1149,2030,3,11,1,13188.79,12497.0275
2030-03-24,S001,Electronics,20147.79,1,0,728,29.6,4.0,25.4,1618,2030,3,12,1,10145.42,14926.18
2030-03-31,S001,Clothing,12037.35,0,0,592,26.4,1.3,1.4,1354,2030,3,13,1,20147.79,13879.8375
2030-05-19,S001,Home,11688.91,0,0,497,25.1,13.5,3.3,1165,2030,5,20,2,12037.35,13504.8675
2030-06-16,S001,Electronics,10787.49,0,0,515,27.6,22.2,4.6,1403,2030,6,24,2,11688.91,13665.385
2030-07-14,S001,Grocery,9484.48,0,0,419,25.4,10.3,0.5,1242,2030,7,28,3,10787.49,10999.557499999999
2030-09-01,S001,Beauty,15466.06,0,1,569,32.4,15.1,4.7,1343,2030,9,35,3,9484.48,11856.735
2030-10-06,S001,Grocery,9436.82,0,0,400,24.1,12.1,0.9,1168,2030,10,40,4,15466.06,11293.7125
2030-11-17,S001,Beauty,7743.68,0,0,346,25.6,1.7,0.8,1209,2030,11,46,4,9436.82,10532.76
2031-03-09,S001,Beauty,12342.82,0,0,437,28.5,5.1,2.3,1456,2031,3,10,1,7743.68,11247.345
2031-05-04,S001,Electronics,7949.0,0,0,454,26.9,18.5,3.4,1234,2031,5,18,2,12342.82,9368.08
2031-05-25,S001,Beauty,15778.45,0,1,650,31.8,5.3,0.1,1432,2031,5,21,2,7949.0,10953.487500000001
2031-06-15,S001,Clothing,6985.71,0,0,409,36.7,14.1,2.7,1103,2031,6,24,2,15778.45,10763.995
2031-06-29,S001,Electronics,14896.02,0,1,680,32.9,7.0,0.7,1157,2031,6,26,2,6985.71,11402.295000000002
2031-07-20,S001,Clothing,15044.87,1,0,412,27.9,5.0,14.8,1555,2031,7,29,3,14896.02,13176.2625
2031-09-21,S001,Beauty,11272.94,0,0,437,26.6,3.2,1.9,1183,2031,9,38,3,15044.87,12049.885
2031-10-19,S001,Beauty,12525.58,0,0,685,28.3,2.7,3.2,1513,2031,10,42,4,11272.94,13434.8525
2031-12-14,S001,Grocery,11822.22,0,0,557,30.7,5.2,0.9,1486,2031,12,50,4,12525.58,12666.4025
2032-03-07,S001,Home,11871.81,0,0,552,32.4,7.0,1.4,1356,2032,3,10,1,11822.22,11873.1375
2032-04-11,S001,Beauty,10307.98,0,0,402,30.6,11.9,0.9,1129,2032,4,15,2,11871.81,11631.8975
2032-06-06,S001,Beauty,14297.7,1,0,523,34.7,3.8,21.9,1729,2032,6,23,2,10307.98,12074.9275
2032-06-13,S001,Beauty,13371.8,0,0,524,32.7,14.4,4.4,1321,2032,6,24,2,14297.7,12462.3225
2032-08-01,S001,Beauty,13601.13,0,0,531,26.5,7.0,4.5,1405,2032,8,31,3,13371.8,12894.6525
2032-08-08,S001,Grocery,20419.69,1,1,786,33.5,20.9,7.9,1623,2032,8,32,3,13601.13,15422.58
2032-10-31,S001,Electronics,10004.69,0,0,402,23.8,24.4,3.4,1284,2032,10,44,4,20419.69,14349.3275
2032-12-26,S001,Grocery,7738.42,0,0,421,35.1,21.9,1.2,1140,2032,12,52,4,10004.69,12940.9825
2033-02-27,S001,Beauty,23073.62,1,1,963,26.2,19.5,22.3,1918,2033,2,8,1,7738.42,15309.105
2033-03-20,S001,Electronics,20080.29,1,0,686,34.4,12.6,27.2,1651,2033,3,11,1,23073.62,15224.255000000001
2033-04-17,S001,Grocery,17952.47,1,0,624,37.0,5.0,17.2,1480,2033,4,15,2,20080.29,17211.2
2033-05-01,S001,Electronics,10968.91,0,0,429,25.3,8.9,0.2,1432,2033,5,17,2,17952.47,18018.822500000002
2033-05-29,S001,Clothing,8854.09,0,0,421,28.6,13.9,4.0,1394,2033,5,21,2,10968.91,14463.940000000002
2033-06-19,S001,Electronics,11103.56,0,0,394,26.1,6.5,3.0,1191,2033,6,24,2,8854.09,12219.7575
2033-07-03,S001,Home,17298.77,1,0,692,39.3,5.6,13.3,1632,2033,7,26,3,11103.56,12056.3325
2033-07-17,S001,Beauty,22960.6,1,1,931,26.4,8.0,11.6,1865,2033,7,28,3,17298.77,15054.254999999997
2033-07-24,S001,Home,16428.67,0,1,649,23.8,10.4,2.7,1454,2033,7,29,3,22960.6,16947.899999999998
2033-07-31,S001,Home,10513.04,0,0,550,31.0,16.2,2.2,1345,2033,7,30,3,16428.67,16800.27
2033-08-14,S001,Electronics,20610.15,1,1,796,31.9,8.6,10.0,1648,2033,8,32,3,10513.04,17628.114999999998
2033-09-11,S001,Home,16816.78,1,0,668,33.3,6.6,8.7,1683,2033,9,36,3,20610.15,16092.16
2033-10-09,S001,Electronics,15295.9,1,0,555,32.3,6.0,23.8,1674,2033,10,40,4,16816.78,15808.967499999999
2033-10-30,S001,Electronics,17307.08,1,0,779,24.5,4.7,16.9,1672,2033,10,43,4,15295.9,17507.4775
2034-01-01,S001,Beauty,12279.31,0,0,526,36.5,8.5,0.9,1167,2034,1,52,1,17307.08,15424.767499999998
2034-02-12,S001,Electronics,11363.16,0,0,430,28.6,6.5,1.1,1189,2034,2,6,1,12279.31,14061.3625
2034-05-14,S001,Electronics,9516.0,0,0,375,27.2,13.4,1.6,1241,2034,5,19,2,11363.16,12616.387499999999
2034-06-11,S001,Clothing,15509.86,1,0,582,31.6,13.1,6.8,1480,2034,6,23,2,9516.0,12167.082499999999
2034-07-09,S001,Beauty,14771.68,0,0,666,35.8,7.9,2.6,1501,2034,7,27,3,15509.86,12790.175
2034-09-17,S001,Grocery,12844.0,0,0,565,30.9,4.1,1.3,1305,2034,9,37,3,14771.68,13160.384999999998
2034-10-01,S001,Home,12002.39,0,0,457,34.4,13.6,3.7,1390,2034,10,39,4,12844.0,13781.982499999998
2034-10-08,S001,Electronics,17794.2,1,0,599,27.7,7.5,24.1,1592,2034,10,40,4,12002.39,14353.067499999997
2035-03-04,S001,Home,18236.57,1,0,580,32.7,20.7,28.3,1516,2035,3,9,1,17794.2,15219.289999999997
2035-03-11,S001,Electronics,11521.88,0,0,444,30.5,4.0,1.4,1151,2035,3,10,1,18236.57,14888.759999999997
2035-04-08,S001,Grocery,16456.15,1,0,633,28.4,4.1,25.3,1428,2035,4,14,2,11521.88,16002.199999999997
2035-04-22,S001,Home,14435.81,0,0,614,26.7,3.2,4.9,1365,2035,4,16,2,16456.15,15162.602499999997
2035-04-29,S001,Home,17363.44,1,0,778,27.8,8.3,27.9,1766,2035,4,17,2,14435.81,14944.319999999998
2035-05-06,S001,Grocery,8898.08,0,0,338,29.4,13.5,0.4,1280,2035,5,18,2,17363.44,14288.369999999999
2035-08-26,S001,Home,16911.05,1,0,757,35.4,2.5,15.6,1568,2035,8,34,3,8898.08,14402.094999999998
2035-09-09,S001,Clothing,16585.1,1,0,629,29.6,17.6,23.7,1661,2035,9,36,3,16911.05,14939.417499999998
2035-09-16,S001,Clothing,18345.02,1,0,692,39.1,0.7,11.6,1717,2035,9,37,3,16585.1,15184.812499999996
2035-09-23,S001,Grocery,16916.24,1,0,588,33.6,5.7,27.0,1478,2035,9,38,3,18345.02,17189.352499999997
2035-10-14,S001,Grocery,22599.59,1,1,907,24.8,19.1,20.3,1746,2035,10,41,4,16916.24,18611.4875
2036-02-10,S001,Electronics,19060.79,1,0,644,38.2,6.6,25.1,1703,2036,2,6,1,22599.59,19230.41
2036-03-02,S001,Electronics,12752.13,0,0,524,30.1,0.8,0.7,1148,2036,3,9,1,19060.79,17832.187499999996
2036-03-09,S001,Electronics,15095.81,1,0,676,25.3,20.8,5.8,1455,2036,3,10,1,12752.13,17377.079999999998
2036-03-16,S001,Electronics,16992.78,1,0,592,36.8,9.1,27.0,1590,2036,3,11,1,15095.81,15975.377499999999
2036-06-08,S001,Electronics,12033.9,0,0,532,30.2,14.0,2.2,1347,2036,6,23,2,16992.78,14218.654999999997
2036-07-27,S001,Electronics,17745.0,1,0,606,35.5,5.4,8.1,1584,2036,7,30,3,12033.9,15466.872499999998
2036-08-03,S001,Electronics,20056.57,1,0,818,28.8,29.7,29.7,1787,2036,8,31,3,17745.0,16707.0625
2036-08-17,S001,Grocery,18521.35,1,0,630,28.6,4.4,7.9,1600,2036,8,33,3,20056.57,17089.204999999998
2036-09-14,S001,Electronics,15933.15,1,0,571,36.1,8.4,11.4,1377,2036,9,37,3,18521.35,18064.017499999998
2036-10-05,S001,Beauty,16369.24,1,0,648,23.6,13.9,6.4,1600,2036,10,40,4,15933.15,17720.0775
2036-10-19,S001,Beauty,8790.61,0,0,469,29.1,31.9,1.7,1324,2036,10,42,4,16369.24,14903.587499999998
2036-11-02,S001,Electronics,15445.38,1,0,540,27.9,12.0,17.9,1561,2036,11,44,4,8790.61,14134.594999999998
2036-11-16,S001,Home,9406.9,0,0,451,37.7,14.9,1.8,1244,2036,11,46,4,15445.38,12503.032499999998
2036-12-07,S001,Beauty,15672.19,1,0,580,29.3,8.2,13.9,1504,2036,12,49,4,9406.9,12328.769999999999
2037-02-22,S001,Electronics,10550.21,0,0,412,27.9,2.8,2.1,1263,2037,2,8,1,15672.19,12768.669999999998
2037-03-08,S001,Clothing,9392.08,0,0,469,26.5,12.9,2.6,1205,2037,3,10,1,10550.21,11255.344999999998
2037-03-15,S001,Beauty,12921.86,0,0,502,36.8,1.8,4.7,1375,2037,3,11,1,9392.08,12134.085
2037-04-19,S001,Beauty,12251.52,0,0,507,31.7,16.2,0.2,1222,2037,4,16,2,12921.86,11278.917499999998
2037-04-26,S001,Electronics,8770.58,0,0,417,35.1,34.1,2.9,1228,2037,4,17,2,12251.52,10834.009999999998
2037-07-05,S001,Grocery,13351.28,0,1,598,22.7,16.9,4.6,1250,2037,7,27,3,8770.58,11823.809999999998
2037-08-02,S001,Electronics,16026.75,1,0,610,29.6,3.1,17.4,1481,2037,8,31,3,13351.28,12600.032499999998
2037-08-09,S001,Beauty,10826.51,0,0,492,25.0,8.9,0.6,1265,2037,8,32,3,16026.75,12243.779999999999
2037-11-22,S001,Beauty,12426.61,0,0,375,25.6,11.8,4.6,1210,2037,11,47,4,10826.51,13157.787499999999
2037-11-29,S001,Grocery,13341.41,0,0,503,29.9,14.0,0.7,1337,2037,11,48,4,12426.61,13155.319999999998
2037-12-27,S001,Electronics,11411.15,0,0,544,40.0,6.0,0.6,1345,2037,12,52,4,13341.41,12001.419999999998
2038-01-31,S001,Beauty,10332.19,0,0,473,29.5,3.9,2.9,1190,2038,1,4,1,11411.15,11877.839999999998
2038-02-14,S001,Home,19124.95,1,0,760,30.9,7.2,18.7,1678,2038,2,6,1,10332.19,13552.424999999997
2038-05-09,S001,Beauty,17676.04,1,0,733,31.3,9.8,17.3,1653,2038,5,18,2,19124.95,14636.082499999999
2038-06-06,S001,Home,11190.89,0,0,592,26.7,9.8,0.4,1316,2038,6,22,2,17676.04,14581.017499999998
2038-10-03,S001,Home,7626.82,0,0,423,24.1,26.0,2.4,1192,2038,10,39,4,11190.89,13904.674999999997
2038-10-17,S001,Grocery,11461.02,0,0,534,34.6,3.1,4.1,1276,2038,10,41,4,7626.82,11988.692499999997
2038-11-14,S001,Home,17051.64,1,0,730,29.1,6.8,22.8,1507,2038,11,45,4,11461.02,11832.592499999999
2038-12-12,S001,Home,10101.62,0,0,434,30.0,4.0,3.0,1419,2038,12,49,4,17051.64,11560.274999999998
2038-12-26,S001,Home,13609.27,0,0,629,26.8,8.2,0.8,1458,2038,12,51,4,10101.62,13055.887499999999
2039-01-02,S001,Clothing,9807.81,0,0,468,26.9,14.8,0.6,1357,2039,1,52,1,13609.27,12642.585
2039-01-23,S001,Electronics,12064.5,0,0,539,28.3,5.3,1.1,1129,2039,1,3,1,9807.81,11395.8
2039-02-13,S001,Beauty,13070.98,0,0,504,29.3,1.6,3.0,1282,2039,2,6,1,12064.5,12138.14
2039-02-20,S001,Home,10389.99,0,0,546,31.6,29.4,3.2,1426,2039,2,7,1,13070.98,11333.319999999998
2039-07-03,S001,Electronics,10514.6,0,0,402,29.1,8.9,1.7,1198,2039,7,26,3,10389.99,11510.017499999998
2039-07-31,S001,Grocery,12072.11,0,0,457,28.6,6.8,3.0,1273,2039,7,30,3,10514.6,11511.919999999998
2039-08-07,S001,Clothing,18974.76,0,1,790,31.5,17.5,4.3,1450,2039,8,31,3,12072.11,12987.864999999998
2039-08-28,S001,Home,19607.81,1,1,864,28.0,6.7,8.2,1765,2039,8,34,3,18974.76,15292.319999999998
2039-09-04,S001,Beauty,17089.74,0,1,821,29.3,19.1,0.1,1532,2039,9,35,3,19607.81,16936.105
2039-09-25,S001,Electronics,12382.27,0,0,490,26.8,1.9,3.0,1371,2039,9,38,3,17089.74,17013.644999999997
2039-10-23,S001,Grocery,14718.93,0,1,584,33.1,17.5,0.6,1391,2039,10,42,4,12382.27,15949.6875
2039-11-27,S001,Electronics,17025.62,0,1,668,26.7,1.4,2.8,1395,2039,11,47,4,14718.93,15304.14
2039-12-25,S001,Electronics,11032.24,0,0,407,21.7,5.5,1.7,1131,2039,12,51,4,17025.62,13789.764999999998
2040-02-26,S001,Grocery,11487.79,0,0,481,32.9,13.0,4.1,1278,2040,2,8,1,11032.24,13566.144999999999
2040-03-04,S001,Clothing,11652.2,0,0,489,32.4,11.0,2.9,1297,2040,3,9,1,11487.79,12799.462499999998
2040-04-08,S001,Home,11798.4,0,0,566,25.4,8.0,1.5,1250,2040,4,14,2,11652.2,11492.6575
2040-06-17,S001,Beauty,10245.8,0,0,468,30.7,12.9,3.2,1247,2040,6,24,2,11798.4,11296.047499999997
2040-07-01,S001,Clothing,17936.7,0,1,738,32.4,3.7,1.5,1336,2040,7,26,3,10245.8,12908.274999999998
2040-09-23,S001,Clothing,9487.38,0,0,405,27.7,10.5,0.2,1313,2040,9,38,3,17936.7,12367.069999999998
2040-10-07,S001,Grocery,8208.2,0,0,475,33.7,8.9,1.4,1169,2040,10,40,4,9487.38,11469.519999999999
2040-10-21,S001,Grocery,16305.61,0,1,687,34.3,18.2,2.4,1534,2040,10,42,4,8208.2,12984.4725
2040-12-16,S001,Grocery,8380.88,0,0,451,31.7,7.8,1.7,1344,2040,12,50,4,16305.61,10595.517499999998
2041-02-24,S001,Grocery,16402.43,1,0,541,29.3,8.0,29.5,1681,2041,2,8,1,8380.88,12324.279999999999
2041-03-10,S001,Beauty,10744.56,0,0,427,34.0,5.3,4.9,1258,2041,3,10,1,16402.43,12958.369999999997
2041-03-17,S001,Electronics,18520.1,1,0,664,36.8,2.3,22.6,1739,2041,3,11,1,10744.56,13511.992499999997
2041-03-24,S001,Electronics,15363.51,0,1,597,23.4,25.8,2.3,1519,2041,3,12,1,18520.1,15257.649999999998
2041-04-14,S001,Beauty,13954.5,1,0,631,32.3,24.9,5.8,1766,2041,4,15,2,15363.51,14645.667499999998
2041-06-02,S001,Home,12507.38,0,0,545,21.9,8.2,2.9,1384,2041,6,22,2,13954.5,15086.372499999998
2041-07-07,S001,Clothing,10464.4,0,0,526,29.4,7.3,1.0,1517,2041,7,27,3,12507.38,13072.447499999998
2041-08-04,S001,Clothing,10603.36,0,0,474,32.1,8.9,2.0,1231,2041,8,31,3,10464.4,11882.409999999998
2041-10-20,S001,Electronics,23568.82,1,1,940,35.0,2.2,25.8,1789,2041,10,42,4,10603.36,14285.989999999998
2041-11-10,S001,Beauty,16674.16,1,0,627,22.1,7.0,19.6,1668,2041,11,45,4,23568.82,15327.684999999998
2041-12-08,S001,Home,8098.13,0,0,370,29.9,12.0,2.3,1280,2041,12,49,4,16674.16,14736.117499999998
2041-12-15,S001,Clothing,17472.49,0,1,759,31.3,13.1,1.7,1426,2041,12,50,4,8098.13,16453.399999999998
2041-12-22,S001,Electronics,23318.83,1,1,864,30.0,4.4,7.6,1722,2041,12,51,4,17472.49,16390.9025
2041-12-29,S001,Home,10221.43,0,0,503,26.7,4.8,1.6,1333,2041,12,52,4,23318.83,14777.719999999998
2042-01-05,S001,Electronics,9872.79,0,0,420,33.3,3.9,0.7,1309,2042,1,1,1,10221.43,15221.384999999998
2042-03-16,S001,Beauty,18147.99,1,0,682,27.0,24.4,27.6,1559,2042,3,11,1,9872.79,15390.259999999998
2042-04-20,S001,Home,12248.03,0,0,504,21.7,7.3,2.9,1366,2042,4,16,2,18147.99,12622.559999999998
2042-04-27,S001,Home,10921.7,0,0,419,29.7,13.2,4.0,1136,2042,4,17,2,12248.03,12797.6275
2042-05-25,S001,Beauty,12675.49,0,0,578,25.3,14.4,1.5,1293,2042,5,21,2,10921.7,13498.3025
2042-07-13,S001,Electronics,16440.92,0,1,711,32.3,6.3,2.7,1409,2042,7,28,3,12675.49,13071.534999999998
2043-02-08,S001,Beauty,14699.99,0,1,676,28.4,4.1,4.8,1344,2043,2,6,1,16440.92,13684.524999999998
2043-02-15,S001,Grocery,10227.95,0,0,495,31.1,10.9,2.6,1417,2043,2,7,1,14699.99,13511.087499999998
2024-02-11,S002,Beauty,12628.27,0,0,714,28.5,2.1,4.1,1473,2024,2,6,1,13152.005000000001,12628.27
2024-04-07,S002,Grocery,20408.17,1,0,794,36.5,2.1,19.5,1542,2024,4,14,2,12628.27,16518.22
2024-04-21,S002,Grocery,11908.88,0,0,545,29.4,3.0,0.6,1269,2024,4,16,2,20408.17,14981.773333333333
2024-05-26,S002,Grocery,9325.97,0,0,418,30.9,8.3,0.3,1412,2024,5,21,2,11908.88,13567.822499999998
2024-07-14,S002,Electronics,10243.84,0,0,452,33.3,2.0,1.5,1136,2024,7,28,3,9325.97,12971.714999999998
2024-10-06,S002,Electronics,17472.96,1,0,698,32.7,13.8,28.1,1692,2024,10,40,4,10243.84,12237.912499999999
2024-11-03,S002,Grocery,18742.45,0,1,708,26.5,6.4,1.8,1597,2024,11,44,4,17472.96,13946.305
2024-11-10,S002,Clothing,12331.29,0,0,502,32.1,12.7,4.4,1282,2024,11,45,4,18742.45,14697.635
2024-11-24,S002,Home,9404.26,0,0,456,27.5,16.7,1.7,1052,2024,11,47,4,12331.29,14487.74
2024-12-08,S002,Clothing,11567.7,0,0,546,21.7,7.8,1.9,1411,2024,12,49,4,9404.26,13011.425
2025-02-09,S002,Home,7347.96,0,0,406,21.5,22.6,1.9,1281,2025,2,6,1,11567.7,10162.8025
2025-02-23,S002,Beauty,11475.17,0,0,473,31.8,11.1,1.3,1362,2025,2,8,1,7347.96,9948.7725
2025-03-02,S002,Grocery,21786.72,1,1,882,19.0,6.3,11.3,1693,2025,3,9,1,11475.17,13044.3875
2025-03-23,S002,Grocery,20109.79,1,0,775,35.6,0.5,24.9,1852,2025,3,12,1,21786.72,15179.91
